,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,14.04,Justin Tucker,PK,BAL,10,160.0,14.0,10.05,16.04,173,"

"
1,2,15.09,Harrison Butker,PK,KC,8,176.9,6.9,14.04,16.09,26,"

"
2,3,15.10,Daniel Carlson,PK,LV,6,177.7,8.8,13.05,16.08,22,"

"
3,4,16.03,Tyler Bass,PK,BUF,7,183.3,7.3,13.10,16.11,31,"

"
4,5,17.04,Younghoe Koo,PK,ATL,14,196.0,9.5,15.01,18.05,21,"

"
