,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.11,Travis Kelce,TE,KC,10.5,2.5,1.01,2.06,804,"
"
1,2,3.01,Darren Waller,TE,LV,24.7,3.7,1.11,4.03,692,"
"
2,3,3.07,George Kittle,TE,SF,30.9,3.6,2.06,4.06,630,"
"
3,4,4.06,Kyle Pitts,TE,ATL,41.6,5.6,2.06,6.01,543,"
"
4,5,4.12,Mark Andrews,TE,BAL,48.4,6.5,2.07,6.09,399,"
"
5,6,5.08,T.J. Hockenson,TE,DET,55.5,5.3,3.01,6.10,260,"
"
6,7,7.04,Logan Thomas,TE,WAS,75.6,9.0,4.09,10.11,508,"
"
7,8,7.10,Rob Gronkowski,TE,TB,82.2,12.5,2.04,10.08,151,"
"
8,9,7.12,Robert Tonyan Jr.,TE,GB,83.8,9.5,4.11,10.05,445,"
"
9,10,8.06,Dallas Goedert,TE,PHI,89.8,10.2,5.05,11.05,157,"
"
10,11,9.06,Noah Fant,TE,DEN,102.4,15.7,4.05,13.03,354,"
"
11,12,10.11,Tyler Higbee,TE,LAR,119.3,18.7,5.09,15.05,770,"
"
12,13,11.03,Mike Gesicki,TE,MIA,123.1,15.5,5.08,15.02,495,"
"
13,14,11.05,Hunter Henry,TE,NE,124.9,17.6,6.09,15.02,271,"
"
14,15,12.12,Irv Smith Jr.,TE,MIN,143.5,22.3,5.03,15.12,290,"
"
15,16,12.12,Jonnu Smith,TE,NE,144.2,21.3,6.01,16.10,319,"
"
16,17,13.02,Pat Freiermuth,TE,PIT,145.7,23.3,7.05,16.06,101,"
"
17,18,13.02,Zach Ertz,TE,ARI,146.3,20.9,8.12,15.10,29,"
"
18,19,13.03,Evan Engram,TE,NYG,147.3,22.2,6.01,15.12,189,"
"
19,20,13.05,Adam Trautman,TE,NO,149.2,25.7,8.12,17.09,26,"
"
20,21,13.09,Jared Cook,TE,LAC,152.6,20.4,7.10,17.02,65,"
"
21,22,14.01,Gerald Everett,TE,SEA,157.2,22.8,6.04,15.12,46,"
"
22,23,14.10,Blake Jarwin,TE,DAL,166.4,26.2,7.07,15.11,14,"
"
