,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.06,Antonio Brown,WR,PIT,6.5,1.7,1.01,2.02,673,"
"
1,2,1.11,DeAndre Hopkins,WR,HOU,11.1,1.9,1.03,2.05,699,"
"
2,3,1.12,Odell Beckham Jr,WR,NYG,12.3,2.1,1.02,2.05,698,"
"
3,4,2.03,Julio Jones,WR,ATL,15.1,2.3,1.04,2.10,696,"
"
4,5,2.06,Michael Thomas,WR,NO,18.1,2.5,1.10,3.06,739,"
"
5,6,2.07,Davante Adams,WR,GB,19.1,2.5,1.12,3.05,711,"
"
6,7,2.09,Keenan Allen,WR,LAC,20.7,2.3,1.12,3.06,681,"
"
7,8,2.11,A.J. Green,WR,CIN,22.8,2.4,2.04,3.07,759,"
"
8,9,3.03,Mike Evans,WR,TB,26.8,2.8,2.07,4.01,529,"
"
9,10,3.04,Tyreek Hill,WR,KC,27.9,3.6,2.01,4.03,695,"
"
10,11,3.04,Stefon Diggs,WR,MIN,28.2,3.2,2.06,4.01,585,"
"
11,12,3.06,T.Y. Hilton,WR,IND,29.8,3.7,2.05,4.05,641,"
"
12,13,3.11,Doug Baldwin,WR,SEA,35.0,4.4,2.11,5.06,564,"
"
13,14,3.12,Amari Cooper,WR,DAL,36.0,4.2,2.07,4.11,682,"
"
14,15,4.02,Adam Thielen,WR,MIN,38.2,4.3,2.04,5.03,644,"
"
15,16,4.04,JuJu Smith-Schuster,WR,PIT,40.4,4.5,1.04,5.10,569,"
"
16,17,4.07,Larry Fitzgerald,WR,ARI,43.0,4.3,3.02,6.01,549,"
"
17,18,4.08,Josh Gordon,WR,NE,43.7,5.7,2.06,5.12,487,"
"
18,19,4.10,Chris Hogan,WR,NE,46.1,4.7,2.04,5.11,649,"
"
19,20,4.12,Brandin Cooks,WR,LAR,48.4,5.1,3.06,6.03,541,"
"
20,21,5.04,Demaryius Thomas,WR,HOU,52.2,4.9,4.02,7.02,554,"
"
21,22,5.06,Jarvis Landry,WR,CLE,53.5,5.2,3.11,6.07,618,"
"
22,23,5.06,Marquise Goodwin,WR,SF,54.3,5.2,3.09,6.08,682,"
"
23,24,5.09,Allen Robinson,WR,CHI,56.5,5.6,4.01,7.01,568,"
"
24,25,5.10,Marvin Jones,WR,DET,58.3,5.7,4.03,8.02,588,"
"
25,26,6.05,Corey Davis,WR,TEN,64.6,5.4,3.12,7.10,572,"
"
26,27,6.07,Golden Tate,WR,PHI,67.0,6.1,4.10,8.02,580,"
"
27,28,6.08,Will Fuller,WR,HOU,67.6,6.5,4.02,8.08,503,"
"
28,29,6.11,Emmanuel Sanders,WR,DEN,70.8,7.1,4.06,8.09,694,"
"
29,30,6.12,Alshon Jeffery,WR,PHI,72.3,8.0,5.02,9.05,366,"
"
30,31,7.04,Julian Edelman,WR,NE,76.2,7.9,3.12,9.03,539,"
"
31,32,7.06,Michael Crabtree,WR,BAL,77.5,7.0,5.03,9.02,531,"
"
32,33,7.10,Sammy Watkins,WR,KC,81.7,7.4,5.10,9.05,451,"
"
33,34,8.04,Jordy Nelson,WR,LV,87.7,8.5,5.10,9.09,343,"
"
34,35,8.04,Robby Anderson,WR,NYJ,87.8,8.5,4.01,10.04,547,"
"
35,36,8.05,Devin Funchess,WR,CAR,88.6,8.9,5.10,10.04,495,"
"
36,37,8.09,Cooper Kupp,WR,LAR,92.6,8.6,5.09,10.04,483,"
"
37,38,9.02,Nelson Agholor,WR,PHI,98.2,9.3,4.04,10.12,482,"
"
38,39,9.03,Randall Cobb,WR,GB,98.6,8.6,6.03,10.10,310,"
"
39,40,9.04,Mike Williams,WR,LAC,99.8,7.9,6.03,10.09,475,"
"
40,41,9.08,Kelvin Benjamin,WR,KC,104.4,8.7,6.09,11.04,282,"
"
41,42,9.11,Robert Woods,WR,LAR,107.0,9.7,6.07,11.05,316,"
"
42,43,9.12,Jamison Crowder,WR,WAS,108.4,8.1,7.08,11.07,376,"
"
43,44,10.02,Kenny Stills,WR,MIA,109.6,9.7,6.12,12.01,516,"
"
44,45,10.08,Pierre Garcon,WR,SF,116.5,9.0,7.10,12.04,297,"
"
45,46,10.10,Sterling Shepard,WR,NYG,118.2,10.2,6.03,12.09,385,"
"
46,47,10.11,D.J. Moore,WR,CAR,119.4,9.5,6.10,12.06,253,"
"
47,48,11.01,Calvin Ridley,WR,ATL,121.0,9.6,7.03,12.08,245,"
"
48,49,11.05,Kenny Golladay,WR,DET,124.5,10.7,6.06,12.12,294,"
"
49,50,11.05,Allen Hurns,WR,DAL,125.0,10.3,7.03,13.01,267,"
"
50,51,11.07,John Brown,WR,BAL,126.7,10.3,7.08,13.02,282,"
"
51,52,11.12,Michael Gallup,WR,DAL,132.0,9.4,9.03,14.12,274,"
"
52,53,12.01,Cameron Meredith,WR,NO,132.5,10.6,7.08,14.06,180,"
"
53,54,12.03,Keelan Cole,WR,JAX,135.0,15.3,6.03,15.10,445,"
"
54,55,12.05,Tyler Lockett,WR,SEA,136.9,11.5,8.09,14.08,242,"
"
55,56,12.08,DeVante Parker,WR,MIA,140.4,13.5,7.11,15.06,162,"
"
56,57,13.02,Chris Godwin,WR,TB,146.2,17.5,6.02,15.12,228,"
"
57,58,13.05,Mohamed Sanu,WR,ATL,149.3,31.6,6.10,19.01,28,"
"
58,59,13.06,Anthony Miller,WR,CHI,150.4,13.7,10.02,15.11,177,"
"
59,60,13.08,Geronimo Allison,WR,GB,151.7,13.7,8.01,15.06,223,"
"
60,61,13.10,John Ross,WR,CIN,154.2,17.4,5.10,15.12,298,"
"
61,62,14.01,Josh Doctson,WR,WAS,156.5,15.2,9.06,16.03,160,"
"
62,63,14.02,Donte Moncrief,WR,JAX,158.4,18.7,10.03,16.10,34,"
"
63,64,14.04,Dede Westbrook,WR,JAX,160.1,18.4,1.11,15.11,144,"
"
64,65,14.06,Martavis Bryant,WR,LV,162.0,13.0,11.04,15.12,115,"
"
65,66,14.07,Danny Amendola,WR,MIA,162.6,16.7,9.03,16.02,57,"
"
66,67,14.08,Tyrell Williams,WR,LAC,163.9,18.4,9.03,16.08,64,"
"
67,68,14.09,Courtland Sutton,WR,DEN,164.7,15.0,10.11,16.12,82,"
"
68,69,14.10,Christian Kirk,WR,ARI,166.1,11.2,12.06,15.12,45,"
"
69,70,14.12,Rishard Matthews,WR,NYJ,168.5,11.2,11.03,16.10,52,"
"
