,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,2.06,Rob Gronkowski,TE,NE,18.1,3.3,1.06,3.05,198,"
"
1,2,4.03,Travis Kelce,TE,KC,38.9,5.3,3.01,5.11,209,"
"
2,3,5.03,Greg Olsen,TE,CAR,51.5,5.6,3.07,6.09,198,"
"
3,4,5.06,Jordan Reed,TE,WAS,54.1,5.8,3.04,6.09,180,"
"
4,5,5.10,Jimmy Graham,TE,SEA,57.6,5.1,4.07,6.12,168,"
"
5,6,6.10,Tyler Eifert,TE,CIN,70.4,7.6,4.07,9.03,144,"
"
6,7,7.01,Zach Ertz,TE,PHI,72.8,7.8,4.07,8.11,148,"
"
7,8,7.08,Delanie Walker,TE,TEN,79.9,9.8,5.10,10.09,138,"
"
8,9,7.12,Kyle Rudolph,TE,MIN,83.6,8.4,6.04,10.10,152,"
"
9,10,8.04,Martellus Bennett,TE,NE,87.6,12.2,5.07,11.05,125,"
"
10,11,9.10,Hunter Henry,TE,LAC,106.1,13.5,6.06,12.10,169,"
"
11,12,11.04,Eric Ebron,TE,DET,124.0,15.4,8.06,14.05,162,"
"
12,13,12.01,Jack Doyle,TE,IND,132.6,19.7,7.11,15.02,223,"
"
13,14,13.03,Austin Hooper,TE,ATL,146.6,17.5,7.10,15.07,167,"
"
14,15,13.07,Jason Witten,TE,DAL,150.5,21.3,8.08,15.12,118,"
"
15,16,13.08,Coby Fleener,TE,NO,152.3,19.0,9.02,15.12,74,"
"
16,17,13.09,O.J. Howard,TE,TB,152.7,21.2,8.12,15.12,58,"
"
