,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,12.01,Chicago Defense,DEF,CHI,88.9,11.7,2.11,9.05,86,"
"
1,2,14.01,LA Rams Defense,DEF,LAR,105.4,5.7,8.10,10.08,63,"
"
2,3,14.06,Jacksonville Defense,DEF,JAX,109.8,15.7,3.02,11.03,36,"
"
3,4,15.03,Baltimore Defense,DEF,BAL,114.9,11.3,7.04,11.09,27,"
"
4,5,16.02,Minnesota Defense,DEF,MIN,122.4,8.2,8.07,12.08,26,"
"
5,6,16.07,Cleveland Defense,DEF,CLE,127.5,7.4,9.09,12.03,21,"
"
6,7,17.03,LA Chargers Defense,DEF,LAC,131.1,7.5,10.10,13.06,17,"
"
7,8,18.04,Dallas Defense,DEF,DAL,140.3,10.1,10.01,14.03,34,"
"
8,9,19.01,Denver Defense,DEF,DEN,145.1,9.8,10.11,15.03,32,"
"
9,10,19.02,New England Defense,DEF,NE,146.2,12.4,10.04,15.07,44,"
"
10,11,21.02,Seattle Defense,DEF,SEA,162.5,14.4,10.12,15.12,80,"
"
11,12,21.03,Philadelphia Defense,DEF,PHI,162.7,11.5,11.08,15.12,87,"
"
12,13,21.07,Houston Defense,DEF,HOU,167.4,12.2,12.04,15.12,29,"
"
13,14,22.04,Buffalo Defense,DEF,BUF,171.8,9.8,11.11,16.11,38,"
"
