,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.01,Christian McCaffrey,RB,CAR,1.2,0.5,1.01,1.05,1368,"
"
1,2,1.03,Dalvin Cook,RB,MIN,2.5,0.7,1.01,1.06,1292,"
"
2,3,1.04,Alvin Kamara,RB,NO,3.8,1.0,1.01,1.08,1500,"
"
3,4,1.04,Derrick Henry,RB,TEN,4.0,1.3,1.01,1.08,460,"
"
4,5,1.05,Ezekiel Elliott,RB,DAL,5.3,1.1,1.02,1.12,1148,"
"
5,6,1.07,Aaron Jones,RB,GB,7.5,1.7,1.04,2.01,1257,"
"
6,7,2.01,Austin Ekeler,RB,LAC,8.5,2.0,1.02,2.04,1363,"
"
7,8,2.02,Nick Chubb,RB,CLE,9.9,2.2,1.05,2.06,1139,"
"
8,9,2.04,Saquon Barkley,RB,NYG,12.0,2.8,1.03,2.08,1157,"
"
9,10,2.05,Najee Harris,RB,PIT,12.9,2.5,1.02,2.07,1285,"
"
10,11,2.06,Jonathan Taylor,RB,IND,13.8,2.6,1.04,2.08,1217,"
"
11,12,2.08,Antonio Gibson,RB,WAS,15.6,2.3,1.07,2.10,1083,"
"
12,13,3.03,Joe Mixon,RB,CIN,19.2,2.6,1.11,3.04,1115,"
"
13,14,3.04,Clyde Edwards-Helaire,RB,KC,20.4,2.3,2.01,3.06,1255,"
"
14,15,4.02,David Montgomery,RB,CHI,25.9,3.4,2.02,3.12,814,"
"
15,16,4.04,Chris Carson,RB,SEA,28.0,3.2,2.01,4.02,1273,"
"
16,17,4.05,James Robinson,RB,JAX,29.1,3.3,1.12,4.05,1141,"
"
17,18,5.02,D'Andre Swift,RB,DET,34.0,4.1,1.08,5.02,743,"
"
18,19,5.03,Josh Jacobs,RB,LV,35.4,4.1,2.06,5.04,838,"
"
19,20,5.07,Miles Sanders,RB,PHI,38.7,4.4,2.02,5.01,789,"
"
20,21,6.03,Mike Davis,RB,ATL,43.1,5.2,3.05,6.06,1311,"
"
21,22,6.04,Darrell Henderson,RB,LAR,43.8,4.9,3.05,6.01,687,"
"
22,23,6.06,Myles Gaskin,RB,MIA,45.7,4.8,2.12,5.09,1016,"
"
23,24,7.05,Javonte Williams,RB,DEN,52.7,6.5,3.06,6.08,931,"
"
24,25,7.05,Kareem Hunt,RB,CLE,53.2,5.8,3.01,6.10,827,"
"
25,26,7.07,Damien Harris,RB,NE,55.5,6.1,3.04,6.10,1128,"
"
26,27,8.01,Gus Edwards,RB,BAL,56.6,8.7,2.01,8.03,1951,"
"
27,28,8.04,Chase Edmonds,RB,ARI,60.4,6.2,3.10,7.04,923,"
"
28,29,8.07,Raheem Mostert,RB,SF,63.0,7.9,2.06,7.08,1295,"
"
29,30,9.04,Trey Sermon,RB,SF,67.7,5.9,4.05,8.01,1041,"
"
30,31,10.03,Melvin Gordon,RB,DEN,75.2,6.6,4.10,8.10,663,"
"
31,32,10.04,Michael Carter,RB,NYJ,76.1,5.0,5.05,8.08,709,"
"
32,33,10.07,A.J. Dillon,RB,GB,79.1,5.7,5.11,8.10,426,"
"
33,34,10.08,Ronald Jones II,RB,TB,79.8,5.8,4.08,9.03,701,"
"
34,35,11.04,Zack Moss,RB,BUF,83.8,7.1,6.04,9.04,450,"
"
35,36,12.02,Leonard Fournette,RB,TB,90.1,7.3,6.02,10.05,570,"
"
36,37,12.03,Devin Singletary,RB,BUF,91.2,9.2,6.01,9.10,413,"
"
37,38,12.04,Jamaal Williams,RB,DET,92.0,7.5,5.11,10.11,709,"
"
38,39,12.05,Sony Michel,RB,LAR,93.4,9.9,4.10,10.11,827,"
"
39,40,12.08,James Conner,RB,ARI,96.2,8.2,6.12,10.09,633,"
"
40,41,13.07,Tony Pollard,RB,DAL,102.7,7.4,6.06,10.12,325,"
"
41,42,13.07,Kenyan Drake,RB,LV,102.9,8.2,7.04,11.08,577,"
"
42,43,14.02,Alexander Mattison,RB,MIN,106.5,9.5,6.02,12.07,333,"
"
43,44,14.04,Phillip Lindsay,RB,MIA,107.5,7.1,7.02,11.10,417,"
"
44,45,15.03,David Johnson,RB,HOU,115.0,9.6,8.09,12.12,307,"
"
45,46,15.05,J.D. McKissic,RB,WAS,116.8,10.4,7.02,13.03,535,"
"
46,47,16.01,Nyheim Hines,RB,IND,120.6,11.9,4.11,13.06,548,"
"
47,48,16.01,Giovani Bernard,RB,TB,120.9,10.3,5.11,13.03,450,"
"
48,49,16.01,Rhamondre Stevenson,RB,NE,121.3,12.2,6.09,13.06,570,"
"
49,50,16.08,Chuba Hubbard,RB,CAR,127.6,10.5,8.09,13.10,294,"
"
50,51,17.01,James White,RB,NE,128.8,18.9,7.12,15.01,345,"
"
51,52,17.03,Latavius Murray,RB,BAL,130.6,14.0,7.10,13.11,215,"
"
52,53,18.02,Rashaad Penny,RB,SEA,137.9,12.0,9.05,15.05,161,"
"
53,54,18.03,Tevin Coleman,RB,NYJ,139.0,17.2,4.04,15.05,189,"
"
54,55,19.02,Damien Williams,RB,CHI,146.0,23.8,9.12,16.10,78,"
"
55,56,19.06,Darrel Williams,RB,KC,150.3,15.6,10.04,16.04,266,"
"
56,57,20.02,Mark Ingram,RB,NO,154.2,17.2,7.12,15.12,132,"
"
57,58,20.03,Justin Jackson,RB,LAC,154.6,26.7,10.05,17.05,61,"
"
58,59,20.03,Kenneth Gainwell,RB,PHI,154.8,14.0,9.08,16.04,127,"
"
59,60,20.03,Devontae Booker,RB,NYG,155.5,16.0,10.03,16.10,73,"
"
60,61,20.07,Tony Jones Jr.,RB,NO,158.8,17.6,10.04,15.12,87,"
"
61,62,20.07,Marlon Mack,RB,IND,158.8,16.4,10.07,17.02,44,"
"
62,63,20.08,Jerick McKinnon,RB,KC,159.7,21.7,6.03,18.05,64,"
"
63,64,21.02,Malcolm Brown,RB,MIA,161.7,16.1,11.06,17.01,40,"
"
64,65,22.05,Carlos Hyde,RB,JAX,172.7,14.7,11.04,18.03,60,"
"
