,#,Pick,Name,Pos,Team,Bye,Overall,Std.Dev,High,Low,TimesDrafted,Graph
0,1,1.04,Justin Jefferson,WR,MIN,7,3.9,1.3,1.01,1.07,76,"

"
1,2,1.06,Cooper Kupp,WR,LAR,7,5.6,1.7,1.01,1.11,109,"

"
2,3,1.08,Ja'Marr Chase,WR,CIN,10,8.0,2.5,1.01,2.01,111,"

"
3,4,2.02,Davante Adams,WR,LV,6,12.0,2.4,1.04,2.05,87,"

"
4,5,2.04,Stefon Diggs,WR,BUF,7,14.0,2.3,1.09,2.08,94,"

"
5,6,2.06,CeeDee Lamb,WR,DAL,9,16.5,2.3,1.11,2.09,51,"

"
6,7,2.09,Deebo Samuel,WR,SF,9,19.0,2.3,2.01,2.11,55,"

"
7,8,3.03,Tyreek Hill,WR,MIA,11,23.0,3.3,1.05,3.06,121,"

"
8,9,3.05,Michael Pittman Jr.,WR,IND,14,24.6,3.1,2.04,3.08,93,"

"
9,10,3.05,Mike Evans,WR,TB,11,25.4,3.0,2.03,3.10,73,"

"
10,11,3.09,Keenan Allen,WR,LAC,8,28.6,2.9,2.09,3.11,79,"

"
11,12,3.09,A.J. Brown,WR,PHI,7,28.9,3.3,2.09,3.11,81,"

"
12,13,3.09,Tee Higgins,WR,CIN,10,29.2,3.1,2.11,3.10,66,"

"
13,14,4.07,Terry McLaurin,WR,WAS,14,37.1,3.6,3.07,4.12,53,"

"
14,15,4.07,D.J. Moore,WR,CAR,13,37.5,3.6,3.05,4.12,141,"

"
15,16,4.10,Mike Williams,WR,LAC,8,40.4,5.1,3.04,5.05,144,"

"
16,17,5.01,Diontae Johnson,WR,PIT,9,40.7,4.6,3.05,5.02,59,"

"
17,18,5.08,Jaylen Waddle,WR,MIA,11,48.0,4.4,3.04,5.08,94,"

"
18,19,5.08,Courtland Sutton,WR,DEN,9,48.2,6.2,2.11,6.08,223,"

"
19,20,5.10,Michael Thomas,WR,NO,14,50.2,5.0,3.12,5.11,83,"

"
20,21,6.04,Chris Godwin,WR,TB,11,54.2,5.3,4.07,6.05,81,"

"
21,22,6.04,Allen Robinson,WR,LAR,7,54.3,5.3,3.10,6.06,138,"

"
22,23,6.06,Brandin Cooks,WR,HOU,6,55.6,5.5,3.05,6.05,98,"

"
23,24,6.10,Jerry Jeudy,WR,DEN,9,59.6,5.0,4.04,6.10,83,"

"
24,25,7.02,Adam Thielen,WR,MIN,7,62.3,4.8,5.03,7.04,110,"

"
25,26,7.04,Gabriel Davis,WR,BUF,7,63.8,6.2,4.04,7.08,159,"

"
26,27,7.05,Darnell Mooney,WR,CHI,14,64.6,4.5,5.03,7.01,63,"

"
27,28,7.05,Marquise Brown,WR,ARI,13,65.4,7.5,3.05,7.06,80,"

"
28,29,7.07,Hunter Renfrow,WR,LV,6,66.6,5.6,5.05,7.07,61,"

"
29,30,8.02,Amon-Ra St. Brown,WR,DET,6,72.4,7.3,4.08,8.03,136,"

"
