,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,15.03,Greg Zuerlein,PK,LAR,143.2,19.8,1.02,14.03,686,"
"
1,2,15.09,Stephen Gostkowski,PK,NE,148.5,15.3,2.01,14.06,321,"
"
2,3,16.04,Justin Tucker,PK,BAL,153.9,7.9,10.07,14.07,233,"
"
3,4,17.02,Wil Lutz,PK,NO,161.5,6.3,10.12,15.09,162,"
"
4,5,17.04,Matt Bryant,PK,ATL,164.4,12.9,7.01,16.02,158,"
"
5,6,17.06,Daniel Carlson,PK,LV,165.7,33.6,1.01,15.12,77,"
"
6,7,17.08,Chris Boswell,PK,PIT,167.6,7.5,12.01,15.12,130,"
"
7,8,17.08,Jake Elliott,PK,PHI,168.4,11.7,7.03,17.10,114,"
"
8,9,17.08,Harrison Butker,PK,KC,168.5,6.7,12.02,16.06,127,"
"
9,10,18.01,Mason Crosby,PK,GB,170.6,5.7,12.06,15.12,149,"
"
10,11,18.01,Matt Prater,PK,DET,170.6,8.0,10.04,15.12,102,"
"
11,12,18.01,Robbie Gould,PK,SF,171.3,5.8,13.06,16.03,114,"
"
12,13,18.03,Adam Vinatieri,PK,IND,173.4,5.3,13.03,16.04,121,"
"
13,14,18.04,Brandon McManus,PK,DEN,173.6,4.4,14.06,15.12,63,"
"
