,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,14.09,Justin Tucker,PK,BAL,139.4,17.5,1.10,14.03,328,"
"
1,2,15.03,Stephen Gostkowski,PK,NE,143.5,16.7,4.04,14.03,296,"
"
2,3,16.02,Matt Bryant,PK,ATL,152.2,12.1,7.03,14.05,92,"
"
3,4,16.07,Dan Bailey,PK,DAL,157.3,7.7,10.09,14.09,77,"
"
4,5,16.09,Wil Lutz,PK,NO,158.7,16.1,6.08,14.11,40,"
"
5,6,17.01,Mason Crosby,PK,GB,160.7,6.8,12.03,15.10,70,"
"
6,7,17.08,Sebastian Janikowski,PK,LV,168.4,6.4,13.12,15.12,61,"
"
7,8,17.09,Cairo Santos,PK,CHI,168.8,18.3,3.06,15.12,65,"
"
8,9,17.09,Adam Vinatieri,PK,IND,169.4,7.2,12.05,15.12,62,"
"
9,10,17.09,Brandon McManus,PK,DEN,169.5,6.1,14.03,15.12,47,"
"
10,11,17.10,Blair Walsh,PK,SEA,169.7,6.6,12.08,15.12,52,"
"
11,12,18.01,Matt Prater,PK,DET,170.9,5.3,14.03,15.12,80,"
"
12,13,18.02,Chris Boswell,PK,PIT,172.4,4.9,14.07,15.12,62,"
"
13,14,18.03,Graham Gano,PK,CAR,172.7,5.6,14.03,15.12,32,"
"
14,15,18.04,Dustin Hopkins,PK,WAS,173.9,4.4,14.10,15.12,34,"
"
