,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.06,Davante Adams,WR,GB,6.4,1.6,1.01,1.12,1190,"
"
1,2,1.11,Tyreek Hill,WR,KC,10.6,2.2,1.01,2.04,1323,"
"
2,3,1.13,Stefon Diggs,WR,BUF,13.5,2.4,1.05,2.09,1282,"
"
3,4,2.03,DeAndre Hopkins,WR,ARI,17.0,2.3,1.07,2.11,1549,"
"
4,5,2.04,Calvin Ridley,WR,ATL,18.0,2.1,1.09,3.01,1475,"
"
5,6,2.06,D.K. Metcalf,WR,SEA,19.7,2.3,1.07,3.02,1128,"
"
6,7,2.08,Justin Jefferson,WR,MIN,22.4,1.9,2.01,3.04,1088,"
"
7,8,2.11,A.J. Brown,WR,TEN,24.8,2.4,2.04,3.08,1020,"
"
8,9,2.12,Keenan Allen,WR,LAC,25.9,2.6,2.04,3.12,1428,"
"
9,10,3.02,CeeDee Lamb,WR,DAL,29.6,2.8,2.05,4.03,1058,"
"
10,11,3.02,Terry McLaurin,WR,WAS,30.3,2.8,2.09,4.03,1279,"
"
11,12,3.05,Allen Robinson,WR,CHI,32.7,3.1,2.08,4.06,1309,"
"
12,13,3.07,Robert Woods,WR,LAR,35.1,3.1,2.11,4.09,1117,"
"
13,14,3.10,Mike Evans,WR,TB,37.8,3.3,2.09,4.11,1073,"
"
14,15,3.12,Amari Cooper,WR,DAL,40.0,3.5,3.02,5.02,1136,"
"
15,16,3.13,Cooper Kupp,WR,LAR,41.3,3.4,3.09,5.06,1331,"
"
16,17,4.03,Diontae Johnson,WR,PIT,44.9,4.3,2.12,6.01,939,"
"
17,18,4.04,Julio Jones,WR,TEN,46.0,4.6,3.05,6.08,1115,"
"
18,19,4.05,Chris Godwin,WR,TB,47.2,5.0,3.05,6.06,1276,"
"
19,20,4.06,Tyler Lockett,WR,SEA,48.4,5.4,3.02,6.02,1334,"
"
20,21,4.10,Adam Thielen,WR,MIN,52.3,4.9,2.03,6.07,957,"
"
21,22,4.12,Brandon Aiyuk,WR,SF,53.9,4.5,3.09,6.08,676,"
"
22,23,5.01,D.J. Moore,WR,CAR,57.0,4.7,4.01,6.11,1107,"
"
23,24,5.05,Chase Claypool,WR,PIT,61.1,4.8,3.11,6.12,622,"
"
24,25,5.05,Tee Higgins,WR,CIN,61.3,6.6,4.03,7.05,789,"
"
25,26,5.08,Jerry Jeudy,WR,DEN,64.1,5.2,4.08,7.06,1034,"
"
26,27,5.13,Odell Beckham Jr,WR,LAR,69.0,5.6,4.08,8.07,884,"
"
27,28,5.14,Michael Thomas,WR,NO,69.5,5.9,4.05,7.11,587,"
"
28,29,6.03,Antonio Brown,WR,TB,72.7,6.3,5.01,8.09,837,"
"
29,30,6.05,Robby Anderson,WR,CAR,75.0,5.8,5.05,8.07,972,"
"
30,31,6.07,Ja'Marr Chase,WR,CIN,77.4,5.8,5.01,8.08,606,"
"
31,32,6.08,DeVonta Smith,WR,PHI,77.6,6.2,4.09,8.12,793,"
"
32,33,6.13,JuJu Smith-Schuster,WR,PIT,82.5,6.8,6.05,9.06,735,"
"
33,34,6.13,Kenny Golladay,WR,NYG,82.8,6.8,5.11,9.10,566,"
"
34,35,7.02,Courtland Sutton,WR,DEN,85.7,7.1,2.05,9.07,919,"
"
35,36,7.02,Laviska Shenault Jr.,WR,JAX,85.9,6.2,6.01,9.09,795,"
"
36,37,7.06,Corey Davis,WR,NYJ,89.6,7.1,5.12,10.04,1157,"
"
37,38,7.06,Deebo Samuel,WR,SF,89.8,6.9,5.04,9.12,504,"
"
38,39,7.06,Marquez Callaway,WR,NO,90.5,8.9,5.07,10.10,931,"
"
39,40,7.13,Tyler Boyd,WR,CIN,97.3,8.6,5.12,10.07,821,"
"
40,41,8.01,Jaylen Waddle,WR,MIA,99.2,7.8,5.04,10.11,855,"
"
41,42,8.02,Mecole Hardman,WR,KC,100.0,7.0,7.08,10.10,365,"
"
42,43,8.05,Brandin Cooks,WR,HOU,102.9,9.9,5.03,11.04,547,"
"
43,44,8.06,Michael Pittman Jr.,WR,IND,104.4,8.1,7.06,10.12,689,"
"
