,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,2.07,Rob Gronkowski,TE,NE,21.0,3.2,1.05,3.07,670,"
"
1,2,2.14,Travis Kelce,TE,KC,28.5,3.6,2.05,4.04,556,"
"
2,3,3.11,Zach Ertz,TE,PHI,39.1,4.9,2.01,5.04,528,"
"
3,4,4.07,Jimmy Graham,TE,GB,49.3,6.5,3.04,6.07,454,"
"
4,5,5.01,Greg Olsen,TE,CAR,57.5,6.3,3.05,7.03,432,"
"
5,6,5.09,Trey Burton,TE,CHI,64.6,7.0,4.07,7.11,440,"
"
6,7,5.14,Evan Engram,TE,NYG,70.5,7.7,4.06,8.12,415,"
"
7,8,6.06,Kyle Rudolph,TE,MIN,76.1,7.8,3.01,9.03,435,"
"
8,9,6.08,Delanie Walker,TE,TEN,77.6,6.9,5.06,10.11,451,"
"
9,10,7.04,Jordan Reed,TE,WAS,88.3,10.6,6.05,12.10,376,"
"
10,11,7.14,David Njoku,TE,CLE,98.4,14.0,5.11,12.04,468,"
"
11,12,9.04,Jack Doyle,TE,IND,116.1,15.9,3.07,13.05,631,"
"
12,13,10.07,George Kittle,TE,SF,133.0,17.0,6.02,15.02,733,"
"
13,14,11.07,Tyler Eifert,TE,CIN,147.0,20.8,7.01,15.12,591,"
"
14,15,11.11,O.J. Howard,TE,TB,151.3,21.1,8.01,15.12,280,"
"
15,16,11.13,Austin Hooper,TE,ATL,152.9,21.3,9.04,16.06,67,"
"
16,17,11.14,Ricky Seals-Jones,TE,ARI,154.1,21.8,7.01,15.12,87,"
"
17,18,12.02,Eric Ebron,TE,IND,156.0,19.9,8.11,16.09,113,"
"
