,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,3.01,Travis Kelce,TE,KC,17.1,3.3,1.04,3.01,540,"
"
1,2,4.04,George Kittle,TE,SF,28.3,4.0,2.02,4.03,382,"
"
2,3,5.01,Zach Ertz,TE,PHI,33.5,4.6,2.04,4.11,555,"
"
3,4,7.06,O.J. Howard,TE,TB,54.1,5.5,3.12,6.10,268,"
"
4,5,8.01,Evan Engram,TE,NYG,57.3,5.8,3.12,6.11,327,"
"
5,6,8.07,Hunter Henry,TE,LAC,63.3,5.6,4.01,7.12,374,"
"
6,7,9.07,Jared Cook,TE,NO,70.6,6.2,4.04,8.07,206,"
"
7,8,10.03,Vance McDonald,TE,PIT,75.1,6.9,5.01,8.12,247,"
"
8,9,11.03,David Njoku,TE,CLE,83.5,8.1,5.05,10.09,174,"
"
9,10,12.07,Austin Hooper,TE,ATL,95.4,13.3,5.05,11.11,138,"
"
10,11,15.03,Delanie Walker,TE,TEN,115.4,16.0,6.09,13.06,428,"
"
11,12,15.06,Eric Ebron,TE,IND,117.5,18.8,5.07,13.07,245,"
"
12,13,16.06,T.J. Hockenson,TE,DET,126.1,15.2,6.05,13.12,352,"
"
13,14,18.06,Mark Andrews,TE,BAL,142.1,19.1,6.03,15.11,438,"
"
14,15,19.05,Greg Olsen,TE,CAR,148.9,19.4,5.01,15.12,275,"
"
15,16,19.08,Trey Burton,TE,CHI,152.4,24.4,7.02,15.11,55,"
"
16,17,20.03,Kyle Rudolph,TE,MIN,154.9,24.7,6.04,16.05,94,"
"
17,18,20.04,Darren Waller,TE,LV,155.8,15.0,11.03,15.12,44,"
"
18,19,20.06,Jordan Reed,TE,WAS,158.0,18.0,9.07,16.03,123,"
"
