,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,15.04,Justin Tucker,PK,BAL,144.5,11.0,1.05,14.05,814,"
"
1,2,15.07,Harrison Butker,PK,KC,147.5,11.8,2.08,14.05,450,"
"
2,3,16.06,Wil Lutz,PK,NO,155.7,6.9,10.07,14.08,156,"
"
3,4,16.06,Greg Zuerlein,PK,DAL,156.1,7.8,10.11,14.11,131,"
"
4,5,17.02,Robbie Gould,PK,SF,162.3,6.3,11.01,15.08,129,"
"
5,6,17.06,Matt Gay,PK,LAR,166.0,5.2,13.01,15.11,111,"
"
6,7,17.08,Zane Gonzalez,PK,ARI,167.8,5.7,12.08,15.12,158,"
"
7,8,17.08,Matt Prater,PK,DET,167.9,7.1,10.10,15.12,108,"
"
8,9,17.09,Younghoe Koo,PK,ATL,168.8,6.3,12.12,15.12,137,"
"
9,10,17.10,Chris Boswell,PK,PIT,170.4,14.5,9.06,15.12,49,"
"
10,11,18.02,Kaimi Fairbairn,PK,HOU,172.5,4.8,14.04,16.02,135,"
"
11,12,18.03,Jake Elliott,PK,PHI,173.1,4.2,14.08,16.03,122,"
"
12,13,18.04,Brandon McManus,PK,DEN,173.8,5.0,13.06,15.12,65,"
"
13,14,18.04,Dan Bailey,PK,MIN,173.9,4.7,14.03,16.03,103,"
"
