,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.10,Patrick Mahomes,QB,KC,10.3,4.4,1.01,4.07,421,"
"
1,2,2.08,Lamar Jackson,QB,BAL,18.1,4.8,1.01,3.05,634,"
"
2,3,5.10,Russell Wilson,QB,SEA,49.8,7.1,2.11,6.09,395,"
"
3,4,6.03,Dak Prescott,QB,DAL,52.6,7.7,2.06,6.08,464,"
"
4,5,6.05,Kyler Murray,QB,ARI,54.7,9.1,2.08,6.10,321,"
"
5,6,7.03,Deshaun Watson,QB,HOU,62.6,7.4,2.02,7.06,616,"
"
6,7,8.06,Aaron Rodgers,QB,GB,75.8,8.7,3.11,9.02,277,"
"
7,8,8.06,Drew Brees,QB,NO,76.4,9.1,4.07,9.05,376,"
"
8,9,9.04,Matt Ryan,QB,ATL,83.7,8.4,4.03,9.09,503,"
"
9,10,9.07,Josh Allen,QB,BUF,87.0,8.4,6.02,10.02,322,"
"
10,11,10.01,Tom Brady,QB,TB,90.7,10.7,4.06,11.04,611,"
"
11,12,10.06,Carson Wentz,QB,PHI,95.6,9.6,5.01,11.06,448,"
"
12,13,11.05,Matthew Stafford,QB,DET,104.9,9.7,6.12,11.06,547,"
"
13,14,11.08,Daniel Jones,QB,NYG,108.3,8.7,7.02,11.07,246,"
"
14,15,13.02,Baker Mayfield,QB,CLE,122.3,11.1,7.06,13.02,269,"
"
15,16,13.03,Ben Roethlisberger,QB,PIT,123.1,9.9,5.12,13.06,433,"
"
16,17,14.02,Cam Newton,QB,NE,131.7,12.4,7.01,15.04,646,"
"
17,18,14.03,Jared Goff,QB,LAR,132.7,10.8,8.05,14.01,301,"
"
18,19,14.09,Ryan Tannehill,QB,TEN,139.2,12.3,7.11,15.05,193,"
"
19,20,16.04,Joe Burrow,QB,CIN,153.6,15.4,9.08,15.12,404,"
"
20,21,16.06,Kirk Cousins,QB,MIN,155.7,15.5,8.03,15.11,204,"
"
21,22,16.07,Drew Lock,QB,DEN,156.6,15.6,8.02,15.12,112,"
"
22,23,16.08,Gardner Minshew,QB,JAX,158.3,24.2,1.01,16.04,73,"
"
23,24,16.10,Philip Rivers,QB,IND,159.8,15.2,6.06,16.02,182,"
"
24,25,17.02,Teddy Bridgewater,QB,CAR,162.0,16.8,7.01,15.12,65,"
"
25,26,17.02,Jimmy Garoppolo,QB,SF,162.5,15.3,11.02,16.12,82,"
"
26,27,17.03,Derek Carr,QB,LV,162.9,7.6,12.11,15.08,17,"
"
27,28,17.05,Tua Tagovailoa,QB,MIA,165.0,9.3,12.08,15.11,28,"
"
