,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,3.05,Rob Gronkowski,TE,NE,21.4,3.2,1.02,3.07,659,"
"
1,2,5.02,Travis Kelce,TE,KC,33.6,4.6,2.03,4.11,601,"
"
2,3,6.05,Zach Ertz,TE,PHI,44.8,5.4,2.01,5.10,530,"
"
3,4,7.02,Jimmy Graham,TE,GB,49.7,6.3,3.02,6.09,408,"
"
4,5,8.05,Greg Olsen,TE,CAR,61.4,6.6,3.02,8.08,402,"
"
5,6,9.05,Trey Burton,TE,CHI,69.3,7.1,5.04,9.02,470,"
"
6,7,10.01,Evan Engram,TE,NYG,72.8,7.9,4.12,8.08,329,"
"
7,8,10.06,Kyle Rudolph,TE,MIN,77.5,8.5,5.01,10.11,346,"
"
8,9,11.03,Delanie Walker,TE,TEN,83.3,8.0,6.03,10.04,342,"
"
9,10,12.06,Jordan Reed,TE,WAS,94.3,11.6,6.05,12.03,385,"
"
10,11,13.06,David Njoku,TE,CLE,102.5,13.3,5.01,12.11,434,"
"
11,12,17.01,George Kittle,TE,SF,128.7,15.9,6.12,15.02,572,"
"
12,13,17.06,Jack Doyle,TE,IND,133.7,19.0,4.12,15.05,561,"
"
13,14,19.03,Tyler Eifert,TE,CIN,146.9,19.9,6.01,16.04,521,"
"
14,15,20.02,O.J. Howard,TE,TB,153.6,20.4,7.11,16.02,271,"
"
15,16,20.04,Eric Ebron,TE,IND,155.7,19.3,9.05,16.02,87,"
"
16,17,20.05,Austin Hooper,TE,ATL,157.1,17.5,10.04,15.12,35,"
"
17,18,20.06,Benjamin Watson,TE,NO,157.7,20.2,10.07,15.12,26,"
"
18,19,21.03,Ricky Seals-Jones,TE,ARI,163.0,14.3,11.05,16.01,58,"
"
19,20,21.04,Mike Gesicki,TE,MIA,164.5,17.4,9.03,16.03,28,"
"
