,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,2.10,Travis Kelce,TE,KC,19.9,3.9,1.02,3.09,877,"
"
1,2,3.04,George Kittle,TE,SF,24.4,3.9,1.08,3.11,816,"
"
2,3,5.02,Mark Andrews,TE,BAL,42.4,6.3,2.01,5.12,508,"
"
3,4,6.01,Zach Ertz,TE,PHI,50.6,6.9,2.12,6.09,627,"
"
4,5,7.02,Darren Waller,TE,LV,61.6,6.4,4.01,8.05,564,"
"
5,6,7.10,Rob Gronkowski,TE,TB,70.4,9.3,3.11,8.12,348,"
"
6,7,8.05,Evan Engram,TE,NYG,74.8,6.8,5.04,9.04,446,"
"
7,8,8.09,Hayden Hurst,TE,ATL,79.4,6.9,5.09,9.07,410,"
"
8,9,9.10,Tyler Higbee,TE,LAR,89.7,9.7,5.09,10.08,370,"
"
9,10,10.08,Hunter Henry,TE,LAC,98.0,10.9,5.04,12.05,406,"
"
10,11,12.05,Jared Cook,TE,NO,115.2,15.3,3.01,14.05,483,"
"
11,12,12.10,Noah Fant,TE,DEN,119.6,13.7,7.04,13.07,555,"
"
12,13,14.07,Austin Hooper,TE,CLE,136.7,18.8,5.12,15.10,708,"
"
13,14,15.03,T.J. Hockenson,TE,DET,143.1,17.4,8.01,15.10,648,"
"
14,15,15.06,Mike Gesicki,TE,MIA,146.5,19.5,8.05,15.12,511,"
"
15,16,16.04,Jonnu Smith,TE,TEN,153.6,16.5,8.05,16.03,361,"
"
16,17,16.04,Jack Doyle,TE,IND,153.7,19.2,8.10,16.11,87,"
"
17,18,16.04,Chris Herndon IV,TE,NYJ,153.9,17.6,7.09,16.06,315,"
"
18,19,16.04,Blake Jarwin,TE,DAL,154.4,19.5,7.08,15.12,228,"
"
