,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,2.09,Patrick Mahomes,QB,KC,19.3,5.7,1.01,3.04,352,"
"
1,2,5.07,Deshaun Watson,QB,HOU,47.1,7.1,2.10,6.04,273,"
"
2,3,6.06,Aaron Rodgers,QB,GB,55.7,7.6,1.01,6.09,249,"
"
3,4,7.03,Baker Mayfield,QB,CLE,63.2,9.3,1.01,7.08,219,"
"
4,5,7.09,Matt Ryan,QB,ATL,69.2,6.9,4.06,7.10,174,"
"
5,6,8.04,Drew Brees,QB,NO,73.9,8.0,1.03,8.07,202,"
"
6,7,8.05,Carson Wentz,QB,PHI,74.6,6.4,4.01,8.06,249,"
"
7,8,9.01,Jared Goff,QB,LAR,81.5,6.7,5.01,9.04,268,"
"
8,9,9.08,Russell Wilson,QB,SEA,88.4,11.0,3.05,10.08,203,"
"
9,10,10.04,Cam Newton,QB,CAR,94.4,9.9,2.12,10.07,295,"
"
10,11,10.08,Lamar Jackson,QB,BAL,97.6,10.3,3.06,10.10,358,"
"
11,12,11.05,Jameis Winston,QB,TB,105.1,8.4,7.06,11.08,298,"
"
12,13,11.07,Ben Roethlisberger,QB,PIT,106.8,9.1,6.07,11.06,367,"
"
13,14,12.01,Kyler Murray,QB,ARI,110.9,8.1,7.12,11.06,223,"
"
14,15,12.05,Tom Brady,QB,NE,114.6,13.0,1.03,12.02,210,"
"
15,16,12.06,Philip Rivers,QB,LAC,116.1,9.1,8.01,11.12,248,"
"
16,17,13.07,Dak Prescott,QB,DAL,127.2,10.2,6.08,13.06,249,"
"
17,18,14.01,Kirk Cousins,QB,MIN,130.7,10.0,9.01,13.05,196,"
"
18,19,14.09,Mitch Trubisky,QB,CHI,139.2,11.2,8.02,15.04,186,"
"
19,20,15.06,Josh Allen,QB,BUF,145.8,12.3,9.10,15.12,173,"
"
20,21,15.08,Jimmy Garoppolo,QB,SF,147.5,17.1,3.06,15.11,151,"
"
21,22,16.07,Derek Carr,QB,LV,157.4,14.5,9.12,15.12,118,"
"
22,23,17.01,Matthew Stafford,QB,DET,160.8,17.9,3.10,15.12,99,"
"
23,24,17.04,Sam Darnold,QB,NYJ,164.2,12.8,11.11,15.12,84,"
"
