,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.01,Todd Gurley,RB,LAR,1.4,0.6,1.01,1.04,709,"
"
1,2,1.03,LeVeon Bell,RB,PIT,2.6,0.9,1.01,1.05,699,"
"
2,3,1.03,David Johnson,RB,ARI,3.4,1.2,1.01,1.09,635,"
"
3,4,1.04,Ezekiel Elliott,RB,DAL,3.7,1.3,1.01,1.08,629,"
"
4,5,1.06,Saquon Barkley,RB,NYG,5.8,1.5,1.01,1.12,592,"
"
5,6,1.07,Alvin Kamara,RB,NO,6.8,1.6,1.01,1.12,642,"
"
6,7,1.08,Leonard Fournette,RB,JAX,7.8,1.7,1.01,2.01,708,"
"
7,8,2.01,Melvin Gordon,RB,LAC,8.8,1.7,1.03,2.03,793,"
"
8,9,2.02,Kareem Hunt,RB,KC,10.0,1.9,1.04,2.04,711,"
"
9,10,2.05,Dalvin Cook,RB,MIN,13.2,2.0,1.06,2.08,690,"
"
10,11,2.06,Christian McCaffrey,RB,CAR,14.0,2.0,1.07,2.10,736,"
"
11,12,2.08,Jordan Howard,RB,CHI,15.9,2.5,1.08,2.11,671,"
"
12,13,3.01,Devonta Freeman,RB,ATL,17.3,2.4,1.09,3.01,650,"
"
13,14,3.05,Joe Mixon,RB,CIN,20.8,2.9,2.01,3.06,632,"
"
14,15,4.01,Derrick Henry,RB,TEN,24.5,3.9,1.12,3.12,459,"
"
15,16,4.02,Alex Collins,RB,BAL,25.9,3.6,2.04,4.02,589,"
"
16,17,4.04,LeSean McCoy,RB,BUF,28.3,4.1,2.02,4.05,592,"
"
17,18,4.06,Royce Freeman,RB,DEN,29.6,4.1,2.01,4.07,754,"
"
18,19,4.08,Jerick McKinnon,RB,SF,31.9,4.1,2.05,4.08,524,"
"
19,20,5.03,Lamar Miller,RB,HOU,34.7,4.3,2.11,5.06,753,"
"
20,21,5.04,Kenyan Drake,RB,MIA,35.5,4.5,2.04,4.12,857,"
"
21,22,5.07,Jay Ajayi,RB,PHI,39.3,5.3,2.09,6.02,647,"
"
22,23,6.03,Marshawn Lynch,RB,LV,43.1,4.5,2.10,5.10,612,"
"
23,24,6.04,Mark Ingram,RB,NO,44.1,4.9,3.01,5.12,599,"
"
24,25,7.01,Carlos Hyde,RB,JAX,48.5,5.7,3.02,6.12,763,"
"
25,26,7.05,Kerryon Johnson,RB,DET,52.8,6.2,3.04,6.11,545,"
"
26,27,7.07,Jamaal Williams,RB,GB,55.1,7.1,3.05,7.07,784,"
"
27,28,8.02,Rex Burkhead,RB,NE,58.2,6.6,3.12,7.11,530,"
"
28,29,8.05,Chris Carson,RB,SEA,60.6,6.6,3.04,7.11,695,"
"
29,30,8.05,Dion Lewis,RB,TEN,61.5,7.4,3.07,7.11,520,"
"
30,31,9.06,Peyton Barber,RB,TB,70.2,9.3,3.12,9.04,853,"
"
31,32,9.08,Tevin Coleman,RB,ATL,71.7,8.1,4.10,8.12,562,"
"
32,33,10.02,Rashaad Penny,RB,SEA,73.6,8.7,4.01,9.01,418,"
"
33,34,10.06,Isaiah Crowell,RB,NYJ,78.4,8.8,5.01,9.06,517,"
"
34,35,10.07,Sony Michel,RB,NE,79.4,8.7,5.02,9.04,580,"
"
35,36,11.04,Marlon Mack,RB,IND,84.3,8.9,4.09,9.08,476,"
"
36,37,11.07,Adrian Peterson,RB,WAS,86.7,11.9,4.04,11.09,786,"
"
37,38,11.07,Aaron Jones,RB,GB,87.5,7.4,6.01,9.11,429,"
"
38,39,11.08,Ronald Jones II,RB,TB,87.5,10.4,4.08,10.02,246,"
"
39,40,12.03,Chris Thompson,RB,WAS,90.7,8.6,5.04,10.02,372,"
"
40,41,12.08,Tarik Cohen,RB,CHI,95.6,8.8,5.04,10.11,252,"
"
41,42,13.07,LeGarrette Blount,RB,DET,103.1,11.1,5.10,11.06,205,"
"
42,43,14.04,CJ Anderson,RB,LAR,108.0,10.8,6.03,12.10,211,"
"
43,44,14.06,Latavius Murray,RB,MIN,110.0,11.5,6.02,12.06,337,"
"
44,45,14.07,Nick Chubb,RB,CLE,111.3,10.7,7.01,12.06,277,"
"
45,46,15.04,Corey Clement,RB,PHI,116.4,11.4,7.01,12.11,337,"
"
46,47,16.01,James White,RB,NE,121.1,13.8,3.11,12.12,366,"
"
47,48,16.07,Ty Montgomery,RB,BAL,127.5,14.0,7.03,15.02,211,"
"
48,49,16.08,Alfred Morris,RB,SF,127.6,31.9,3.01,17.03,427,"
"
49,50,17.01,Duke Johnson,RB,CLE,129.0,13.6,5.10,15.08,328,"
"
50,51,17.07,Bilal Powell,RB,NYJ,135.4,15.7,7.10,15.11,502,"
"
51,52,18.05,Doug Martin,RB,LV,141.1,13.9,9.03,15.09,236,"
"
