,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.02,David Johnson,RB,ARI,1.6,0.8,1.01,1.05,420,"
"
1,2,1.02,LeVeon Bell,RB,PIT,2.2,0.7,1.01,1.04,349,"
"
2,3,1.06,LeSean McCoy,RB,BUF,6.2,1.7,1.03,1.12,288,"
"
3,4,1.06,Devonta Freeman,RB,ATL,6.5,1.9,1.03,1.12,316,"
"
4,5,1.07,Melvin Gordon,RB,LAC,7.4,2.2,1.01,2.04,346,"
"
5,6,1.10,Ezekiel Elliott,RB,DAL,10.1,4.2,1.01,2.08,499,"
"
6,7,2.01,Jay Ajayi,RB,PHI,10.7,2.2,1.04,2.05,324,"
"
7,8,2.03,DeMarco Murray,RB,TEN,13.4,2.7,1.06,2.08,366,"
"
8,9,2.05,Jordan Howard,RB,CHI,14.8,2.7,1.08,2.11,422,"
"
9,10,2.07,Todd Gurley,RB,LAR,16.8,3.0,1.01,3.02,384,"
"
10,11,3.02,Leonard Fournette,RB,JAX,22.0,3.6,1.09,3.09,266,"
"
11,12,3.04,Isaiah Crowell,RB,CLE,24.2,4.3,1.12,3.10,327,"
"
12,13,3.05,Marshawn Lynch,RB,LV,24.6,4.7,1.09,3.12,305,"
"
13,14,3.07,Christian McCaffrey,RB,CAR,26.7,4.1,1.12,3.11,309,"
"
14,15,3.07,Kareem Hunt,RB,KC,27.0,4.8,2.01,4.05,705,"
"
15,16,3.08,Dalvin Cook,RB,MIN,28.0,4.4,2.01,4.01,361,"
"
16,17,4.01,Lamar Miller,RB,HOU,31.2,3.6,2.07,4.07,322,"
"
17,18,4.03,Carlos Hyde,RB,SF,32.5,3.5,2.07,4.08,408,"
"
18,19,4.06,Ty Montgomery,RB,GB,35.7,4.5,2.10,4.12,395,"
"
19,20,4.08,Joe Mixon,RB,CIN,37.5,5.2,2.07,5.07,308,"
"
20,21,5.03,CJ Anderson,RB,DEN,43.5,5.5,2.12,5.12,372,"
"
