,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.05,Antonio Brown,WR,PIT,4.7,1.3,1.01,1.09,696,"
"
1,2,2.01,DeAndre Hopkins,WR,HOU,8.8,2.1,1.01,2.03,612,"
"
2,3,2.03,Odell Beckham Jr,WR,NYG,11.2,1.9,1.05,2.05,760,"
"
3,4,2.06,Julio Jones,WR,ATL,14.2,2.2,1.04,2.09,769,"
"
4,5,2.08,Michael Thomas,WR,NO,16.0,2.0,1.09,2.10,744,"
"
5,6,3.01,Keenan Allen,WR,LAC,17.2,2.7,1.05,2.12,707,"
"
6,7,3.02,Davante Adams,WR,GB,18.2,2.2,1.12,2.12,738,"
"
7,8,3.05,A.J. Green,WR,CIN,21.3,2.1,1.12,3.05,790,"
"
8,9,3.08,Tyreek Hill,WR,KC,23.7,2.9,2.01,3.08,635,"
"
9,10,4.02,Mike Evans,WR,TB,25.5,3.0,2.03,3.11,595,"
"
10,11,4.02,Stefon Diggs,WR,MIN,26.0,2.7,2.06,3.12,660,"
"
11,12,4.03,T.Y. Hilton,WR,IND,27.4,2.7,2.05,3.12,610,"
"
12,13,4.07,Amari Cooper,WR,DAL,31.4,3.6,2.06,4.07,699,"
"
13,14,5.01,Adam Thielen,WR,MIN,33.5,3.9,2.07,4.08,738,"
"
14,15,5.03,Larry Fitzgerald,WR,ARI,34.9,4.5,1.03,4.11,775,"
"
15,16,5.06,Doug Baldwin,WR,SEA,37.6,4.3,2.12,4.12,662,"
"
16,17,5.07,Jarvis Landry,WR,CLE,39.4,4.3,2.10,5.04,718,"
"
17,18,6.01,JuJu Smith-Schuster,WR,PIT,41.2,4.4,2.09,6.04,750,"
"
18,19,6.02,Chris Hogan,WR,NE,42.1,4.0,3.02,5.09,686,"
"
19,20,6.04,Josh Gordon,WR,NE,44.1,4.9,3.01,5.09,522,"
"
20,21,6.07,Golden Tate,WR,PHI,46.7,4.3,3.09,6.03,624,"
"
21,22,6.07,Demaryius Thomas,WR,HOU,47.0,4.5,3.01,5.10,517,"
"
22,23,7.01,Marquise Goodwin,WR,SF,48.9,5.0,2.12,6.03,666,"
"
23,24,7.04,Brandin Cooks,WR,LAR,52.5,4.7,4.01,6.10,623,"
"
24,25,7.07,Allen Robinson,WR,CHI,55.2,5.3,3.11,7.01,694,"
"
25,26,8.02,Emmanuel Sanders,WR,DEN,57.6,5.2,4.07,7.05,713,"
"
26,27,8.05,Corey Davis,WR,TEN,61.1,6.3,4.04,7.10,538,"
"
27,28,8.06,Marvin Jones,WR,DET,62.3,6.3,4.04,7.07,562,"
"
28,29,9.01,Julian Edelman,WR,NE,65.5,6.3,4.02,8.02,701,"
"
29,30,9.06,Michael Crabtree,WR,BAL,70.4,6.7,4.02,8.08,592,"
"
30,31,10.01,Will Fuller,WR,HOU,73.0,6.8,5.01,8.12,517,"
"
31,32,10.06,Cooper Kupp,WR,LAR,77.8,8.1,5.01,9.02,659,"
"
32,33,10.07,Jamison Crowder,WR,WAS,79.5,7.5,5.08,9.04,543,"
"
33,34,11.03,Alshon Jeffery,WR,PHI,82.8,8.2,5.01,9.07,528,"
"
34,35,11.05,Robby Anderson,WR,NYJ,84.8,8.2,6.01,9.09,597,"
"
35,36,11.07,Devin Funchess,WR,CAR,87.4,8.5,5.02,9.10,560,"
"
36,37,12.03,Randall Cobb,WR,GB,90.9,8.9,5.07,10.01,403,"
"
37,38,12.05,Nelson Agholor,WR,PHI,92.8,8.9,4.11,10.04,568,"
"
38,39,12.06,Sammy Watkins,WR,KC,93.8,9.2,3.05,10.07,412,"
"
39,40,13.02,Jordy Nelson,WR,LV,98.2,9.9,6.01,10.10,475,"
"
40,41,13.07,Mike Williams,WR,LAC,102.7,8.0,7.02,11.07,469,"
"
41,42,13.08,Robert Woods,WR,LAR,103.7,10.2,5.01,11.02,406,"
"
42,43,14.02,Sterling Shepard,WR,NYG,106.1,10.0,5.12,11.04,394,"
"
43,44,14.04,Kenny Stills,WR,MIA,108.1,8.4,7.01,11.10,448,"
"
44,45,14.04,Pierre Garcon,WR,SF,108.2,9.8,6.12,11.08,326,"
"
45,46,15.01,Kelvin Benjamin,WR,KC,113.1,8.9,6.10,12.01,309,"
"
46,47,15.02,Keelan Cole,WR,JAX,113.9,8.5,6.08,12.01,458,"
"
47,48,15.07,Calvin Ridley,WR,ATL,119.3,9.3,7.05,12.05,304,"
"
48,49,16.03,John Brown,WR,BAL,123.4,9.1,6.06,12.09,324,"
"
49,50,16.08,Allen Hurns,WR,DAL,127.6,8.9,7.03,12.11,234,"
"
50,51,17.01,Michael Gallup,WR,DAL,129.2,8.1,8.05,12.12,277,"
"
51,52,17.02,D.J. Moore,WR,CAR,129.8,10.2,8.02,13.11,197,"
"
52,53,17.03,Tyler Lockett,WR,SEA,131.1,8.2,8.01,13.07,328,"
"
53,54,17.04,Kenny Golladay,WR,DET,131.9,11.0,3.11,14.05,226,"
"
54,55,18.02,Chris Godwin,WR,TB,138.4,10.6,8.03,14.12,255,"
"
55,56,18.06,Anthony Miller,WR,CHI,141.5,10.7,10.03,15.06,180,"
"
56,57,18.06,Geronimo Allison,WR,GB,142.2,11.1,9.04,15.02,263,"
"
57,58,19.01,Cameron Meredith,WR,NO,145.0,12.7,8.12,15.02,169,"
"
58,59,19.08,John Ross,WR,CIN,152.0,12.6,9.09,15.09,296,"
"
59,60,20.01,Dede Westbrook,WR,JAX,152.7,12.9,9.05,15.10,238,"
"
60,61,20.03,DeVante Parker,WR,MIA,154.8,13.3,9.11,15.10,191,"
"
61,62,20.06,Danny Amendola,WR,MIA,157.6,13.2,8.06,15.12,205,"
"
62,63,21.02,Josh Doctson,WR,WAS,162.3,11.7,11.05,15.12,122,"
"
63,64,21.03,Courtland Sutton,WR,DEN,163.1,13.7,9.04,15.12,126,"
"
64,65,21.07,Christian Kirk,WR,ARI,166.8,17.5,4.12,16.07,82,"
"
