,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,1.08,Michael Thomas,WR,NO,7.9,1.9,1.01,2.04,610,"
"
1,2,2.06,Davante Adams,WR,GB,13.6,2.7,1.05,2.09,648,"
"
2,3,2.07,Tyreek Hill,WR,KC,14.8,2.8,1.06,2.10,663,"
"
3,4,3.02,Julio Jones,WR,ATL,18.2,2.8,1.06,3.04,754,"
"
4,5,3.04,DeAndre Hopkins,WR,ARI,20.0,3.4,1.08,3.05,772,"
"
5,6,3.08,Chris Godwin,WR,TB,23.8,3.3,1.07,3.09,584,"
"
6,7,4.02,Kenny Golladay,WR,DET,25.6,3.0,1.01,3.09,580,"
"
7,8,4.04,Mike Evans,WR,TB,27.6,3.3,2.01,3.12,648,"
"
8,9,4.07,Adam Thielen,WR,MIN,30.6,3.6,2.01,4.11,560,"
"
9,10,5.01,Amari Cooper,WR,DAL,33.4,3.7,2.07,4.09,578,"
"
10,11,5.03,Cooper Kupp,WR,LAR,35.0,4.7,2.09,4.11,477,"
"
11,12,5.05,Calvin Ridley,WR,ATL,37.4,4.6,2.10,5.04,523,"
"
12,13,5.06,A.J. Brown,WR,TEN,38.2,4.3,2.02,4.11,450,"
"
13,14,5.06,JuJu Smith-Schuster,WR,PIT,38.4,4.5,2.06,5.02,640,"
"
14,15,6.01,Allen Robinson,WR,CHI,41.0,4.9,2.10,5.10,673,"
"
15,16,6.02,D.K. Metcalf,WR,SEA,42.4,4.2,3.01,5.10,444,"
"
16,17,6.04,Odell Beckham Jr,WR,CLE,43.6,5.1,2.12,5.12,1039,"
"
17,18,6.08,Robert Woods,WR,LAR,48.0,4.6,3.05,5.11,688,"
"
18,19,7.01,D.J. Moore,WR,CAR,48.9,6.0,3.04,6.04,771,"
"
19,20,7.03,Tyler Lockett,WR,SEA,50.8,4.7,3.03,6.05,602,"
"
20,21,7.04,Stefon Diggs,WR,BUF,52.5,4.7,4.03,6.07,389,"
"
21,22,7.06,D.J. Chark,WR,JAX,54.1,4.6,3.12,6.10,704,"
"
22,23,7.07,T.Y. Hilton,WR,IND,54.9,4.9,3.07,6.09,480,"
"
23,24,8.01,Terry McLaurin,WR,WAS,57.4,6.0,3.01,6.12,652,"
"
24,25,8.03,Keenan Allen,WR,LAC,58.9,5.5,4.02,7.02,561,"
"
25,26,8.06,Marquise Brown,WR,BAL,62.0,5.5,4.04,7.06,599,"
"
26,27,9.02,Courtland Sutton,WR,DEN,66.4,7.0,1.05,8.02,845,"
"
27,28,9.02,A.J. Green,WR,CIN,66.4,5.8,4.06,7.12,580,"
"
28,29,9.08,DeVante Parker,WR,MIA,72.2,6.3,5.02,8.08,593,"
"
29,30,10.02,Brandin Cooks,WR,HOU,74.5,6.2,5.08,8.10,518,"
"
30,31,10.03,Michael Gallup,WR,DAL,75.5,6.2,5.01,8.12,808,"
"
31,32,10.05,Will Fuller,WR,HOU,77.3,6.4,4.07,9.03,909,"
"
32,33,10.07,Deebo Samuel,WR,SF,78.7,6.5,5.01,9.01,409,"
"
33,34,11.05,Jarvis Landry,WR,CLE,85.1,6.9,5.10,9.07,586,"
"
34,35,11.07,Tyler Boyd,WR,CIN,87.1,7.5,5.01,9.10,696,"
"
