,#,Pick,Name,Pos,Team,Overall,Std.Dev,High,Low,TimesDrafted,
0,1,9.10,San Francisco Defense,DEF,SF,106.3,9.4,4.12,11.05,334,"
"
1,2,10.11,Baltimore Defense,DEF,BAL,119.3,6.3,9.02,12.07,311,"
"
2,3,10.12,Pittsburgh Defense,DEF,PIT,119.6,9.4,3.01,12.09,332,"
"
3,4,11.06,Buffalo Defense,DEF,BUF,126.3,8.5,9.01,13.02,250,"
"
4,5,12.05,Chicago Defense,DEF,CHI,136.7,8.0,10.01,14.07,224,"
"
5,6,12.08,New England Defense,DEF,NE,140.2,7.0,10.05,14.03,181,"
"
6,7,13.04,LA Chargers Defense,DEF,LAC,147.5,8.0,11.01,15.07,151,"
"
7,8,13.10,Tampa Bay Defense,DEF,TB,154.2,10.5,11.03,15.12,157,"
"
8,9,14.04,Seattle Defense,DEF,SEA,160.3,13.5,2.12,15.12,220,"
"
9,10,14.05,Dallas Defense,DEF,DAL,161.0,17.2,9.01,15.11,58,"
"
10,11,14.07,Minnesota Defense,DEF,MIN,163.1,11.3,8.10,16.01,329,"
"
11,12,14.08,New Orleans Defense,DEF,NO,163.6,9.6,10.08,16.02,257,"
"
12,13,14.11,Kansas City Defense,DEF,KC,167.1,11.4,10.09,15.12,185,"
"
13,14,15.01,Philadelphia Defense,DEF,PHI,169.1,8.7,12.05,15.12,118,"
"
14,15,15.02,Indianapolis Defense,DEF,IND,170.3,8.5,12.08,16.06,113,"
"
